Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,8402.75,100833.00,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),CloudFront ,Amazon CloudFront,0,108,1296.00,USD,"Data transfer out to internet (800 GB per month), Data transfer out to origin (500 GB per month), Number of requests (HTTPS) (30000000 per month)"
My Estimate,US East (N. Virginia),Simple Storage Service S3,S3 Standard,0,129.16,1549.92,USD,S3 Standard storage (4000 GB per month)
My Estimate,US East (N. Virginia),Simple Storage Service S3,Data Transfer,0,0,0.00,USD,"DT Inbound: Internet (3000 GB per month), DT Outbound: Amazon CloudFront (3000 GB per month)"
My Estimate,US East (N. Virginia), Elastic Load Balancing,Application Load Balancer,0,698.61,8383.32,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,VPN Connection,0,1192,14304.00,USD,"Working days per month (30), Number of subnet associations (4)"
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,74.7,896.40,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),,Amazon RDS for SQL server,0,1231.9,14782.80,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (100 GB), Number of nodes (1), Instance type (db.m3.large), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), License (License included), Database edition (Standard), Pricing strategy (OnDemand), Additional backup storage (200 GB)"
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,4968.38,59620.56,USD,"Tenancy (Dedicated Instances), Operating system (Linux), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 18), Enable monitoring (disabled), Advance EC2 instance (r5.xlarge), Pricing strategy (), Snapshot Frequency (No snapshot storage)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
